Date,Euree_Growth,SAA Target,Peer Group
2023-08-31,0.7433886966506487,1.7644689792473134,1.6703829913800483
2023-09-30,-0.3033895702671541,-1.2512277646968162,-1.0177412900274962
2023-10-31,-1.4585431586511044,-3.339480416748819,-3.1048859544224094
2023-11-30,0.8055286010281826,-0.8502531126004187,-0.9637920608828177
2023-12-31,5.179259792220381,6.019551505187959,5.506601160953495
2024-01-31,8.291403507745043,10.660616831267845,9.040475222560929
2024-02-29,7.564875288377282,7.916396682353244,7.066822384812466
2024-03-31,7.393554638315036,6.909192016643839,5.897306985375805
2024-04-30,3.533474819099802,2.331430301525339,2.198588684642222
2024-05-31,2.002528908922385,1.4877418296648681,1.189817349896738
2024-06-30,0.22922064758643668,0.26069643665549425,-0.5078327751175782
2024-07-31,4.908408419511612,5.43632447411273,4.586241991873008
2024-08-31,4.188504916419333,4.463267109454194,3.7753646348095193
2024-09-30,4.609029172264711,4.262830636865167,4.564445449039112
2024-10-31,2.1709171103227343,2.4701783736182925,1.6510502592647303
2024-11-30,4.485127338308015,5.3468245538763615,4.05086843284872
2024-12-31,2.3855721775651872,3.4099505431867794,1.456794682422391
2025-01-31,5.097066068253042,5.105492319360971,3.935046299936018
2025-02-28,1.5461441243027396,0.4869416080971467,0.36098571828613313
2025-03-31,-0.5404065036756722,-1.7905706117387066,-0.9899976138235234
2025-04-30,-2.262824300153543,-3.502442895785929,-2.508474898662849
2025-05-31,2.115819911960304,1.6915059429953638,1.2899053732329246
2025-06-30,6.223368943121876,6.078356650274341,5.080761612778484
2025-07-31,7.209193611805875,7.368677552329883,5.408502570239948
2025-08-31,5.042315084192195,5.2162263962656,4.1342728763470005
