Date,Euree_Growth,SAA Target,Peer Group
2022-12-31,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0
2023-02-28,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0
2023-04-30,0.0,0.0,0.0
2023-05-31,0.0,0.0,0.0
2023-06-30,0.0,0.0,0.0
2023-07-31,0.0,0.0,0.0
2023-08-31,0.7433886966506487,1.7644691607120677,1.6703829913800483
2023-09-30,-1.0390540565096251,-2.963408156046743,-2.6439600228863602
2023-10-31,-1.1586688688860813,-2.114712953582809,-2.1086048061506157
2023-11-30,3.058051668294204,4.385134469224239,3.9169961289039934
2023-12-31,3.254644731539913,3.759981768709242,3.71666175657428
2024-01-31,1.7659422010288583,2.170270335431179,1.1702029511230005
2024-02-29,2.3666340640822403,1.7965367457326353,2.036079213588926
2024-03-31,3.0901890687603295,2.7915702514772933,2.5837409282478685
2024-04-30,-1.891862600167915,-2.204574196272757,-2.3634098648849133
2024-05-31,0.8529421877798038,0.9572582562000331,1.0289119606427422
2024-06-30,1.2979718963650466,1.548759969972635,0.8627051049585388
2024-07-31,2.688302683784194,2.8437712416930827,2.6356579413082004
2024-08-31,0.16086814460287702,0.025538041410677614,0.24561527116027104
2024-09-30,1.7068294213341995,1.3539159718791272,1.6296388155718322
2024-10-31,0.2949567998319358,1.0809941004504608,-0.22399699074293622
2024-11-30,2.4295499971288548,2.8302061517739396,2.6122533800263747
2024-12-31,-0.33689779644430207,-0.5095456612444593,-0.9040716886026479
2025-01-31,2.9510845807844133,2.7355348233038645,2.213198483653178
2025-02-28,-1.0312443941964955,-1.688216119984065,-0.916319734199933
2025-03-31,-2.3847560414068103,-2.760361841085235,-2.2380257791336455
2025-04-30,1.1682019646876984,0.9576391990650857,0.6455950459436366
2025-05-31,3.402574833855354,3.6059736459873593,2.9440927067506006
2025-06-30,1.541759958703759,1.430152344637703,1.4207947973085
2025-07-31,2.107111266619155,2.169929106851498,0.9595029695099733
2025-08-31,1.3126331360246102,1.529570247132117,1.6996540083600076
2025-09-30,0.6693935821119323,0.3868635586728786,0.579308888918173
2025-10-31,1.6160996894091673,1.4933769753621151,1.1281953010035428
2025-11-30,-0.16854009353052257,-0.7106294529935275,-0.5846977370164819
2025-12-31,0.12328177114466765,0.005961859908909517,0.20539841781528345
2026-01-31,0.8277610911548994,-0.36140293711786065,0.41418299615827436
