1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),5 Years (p.a.),Since Inception (p.a.)
0.41,1.23,2.55,4.7,5.94,5.7,3.84,3.78
0.3,1.01,2.35,4.03,4.81,4.64,2.42,2.42
0.6,-0.01,1.34,2.05,2.08,3.24,3.98,3.18
