Date,PMP_Floating,SAA Target,Peer Group
2022-12-31,0.03495688476389258,0.14087371506830149,0.14087371506830149
2023-01-31,1.3582551248828123,1.1249071430434077,1.1249071430434077
2023-02-28,0.13191195951685053,-0.16404662372119239,-0.16404662372119239
2023-03-31,0.598339285997529,0.4123266737543041,0.4123266737543041
2023-04-30,0.47413129112501284,0.37809799393748733,0.37809799393748733
2023-05-31,-0.2555832578103878,-0.037414030763549544,-0.037414030763549544
2023-06-30,-0.08804910092986562,0.2716231719673612,0.2716231719673612
2023-07-31,0.8351255068517638,0.53252284948897,0.53252284948897
2023-08-31,0.7568904775319574,0.3297545737151353,0.3297545737151353
2023-09-30,0.01603445211815213,-0.015920854885487223,-0.015920854885487223
2023-10-31,-0.1413698049438361,-0.08347710198449709,-0.08347710198449709
2023-11-30,1.4703590110710651,1.23782650959674,1.23782650959674
2023-12-31,1.4257721844572302,1.0860903055404325,1.0860903055404325
2024-01-31,0.3805234865298157,0.2661239824408357,0.2661239824408357
2024-02-29,0.3494477245877814,0.22034344541081996,0.22034344541081996
2024-03-31,0.6511524621091613,0.5716327437080837,0.5716327437080837
2024-04-30,-0.3073800146551342,-0.09386572895765388,-0.09386572895765388
2024-05-31,0.2853747176834842,0.5853408275020788,0.5853408275020788
2024-06-30,0.5695381172495795,0.05872143338636615,0.05872143338636615
2024-07-31,1.1732633507789414,0.6471070926144629,0.6471070926144629
2024-08-31,0.6091606803529714,0.4861134308193904,0.4861134308193904
2024-09-30,0.5387308580252048,0.5032214758681652,0.5032214758681652
2024-10-31,-0.4024292807774166,-0.03913244856967868,-0.03913244856967868
2024-11-30,0.7208469345991064,0.44100833194120614,0.44100833194120614
2024-12-31,0.4695657302608902,0.17304204020629488,0.17304204020629488
2025-01-31,0.5346714760770199,0.36954491020884106,0.36954491020884106
2025-02-28,0.6257541101115427,0.44788653947109847,0.44788653947109847
2025-03-31,0.13619865313430068,0.23438267626076925,0.23438267626076925
2025-04-30,0.3595316769670953,0.3081731148575795,0.3081731148575795
2025-05-31,0.4565661347025074,0.42379339372786706,0.42379339372786706
2025-06-30,0.47449418725735715,0.590933644654057,0.590933644654057
2025-07-31,0.4686504726254981,0.2924045455900304,0.2924045455900304
2025-08-31,0.3480728085645257,0.42023069478520636,0.42023069478520636
2025-09-30,0.4114400608128177,0.29547250774821787,0.29547250774821787
