Date,PMP_Floating,SAA Target,Peer Group
2022-12-31,1.2950144107133132,1.3861432431997,1.3861432431997
2023-01-31,2.252860426558967,2.2729024677021537,2.2729024677021537
2023-02-28,1.5274372124273405,1.1012398624681952,1.1012398624681952
2023-03-31,2.0992250468913065,1.3752960961453287,1.3752960961453287
2023-04-30,1.2086379096034827,0.6266378203870993,0.6266378203870993
2023-05-31,0.8169759271774213,0.7542733227975162,0.7542733227975162
2023-06-30,0.1290957695853523,0.6130906657859425,0.6130906657859425
2023-07-31,0.48885030475058766,0.7678770415308733,0.7678770415308733
2023-08-31,1.5088805475589107,1.1380035286648216,1.1380035286648216
2023-09-30,1.614627706514793,0.8479750252604834,0.8479750252604834
2023-10-31,0.6305836339111082,0.23004218162974155,0.23004218162974155
2023-11-30,1.3431577774182468,1.1372116332453608,1.1372116332453608
2023-12-31,2.7716014686307355,2.2519324658734297,2.2519324658734297
2024-01-31,3.30871888407811,2.6097049887537915,2.6097049887537915
2024-02-29,2.167499811652629,1.5784339644072443,1.5784339644072443
2024-03-31,1.3872152879798039,1.061470717395463,1.061470717395463
2024-04-30,0.6924129702637227,0.6986254389300006,0.6986254389300006
2024-05-31,0.6281209804446908,1.0653646996612087,1.0653646996612087
2024-06-30,0.5465253109727453,0.5499353760829884,0.5499353760829884
2024-07-31,2.0398509517375985,1.2956830708379607,1.2956830708379607
2024-08-31,2.3693014968850568,1.1957549218291508,1.1957549218291508
2024-09-30,2.33794291985594,1.6453061125434543,1.6453061125434543
2024-10-31,0.7441113358299445,0.952260577056685,0.952260577056685
2024-11-30,0.8559473988322353,0.9069462391861238,0.9069462391861238
2024-12-31,0.7865640435014143,0.5754404618154352,0.5754404618154352
2025-01-31,1.7348518859045203,0.9866304241751944,0.9866304241751944
2025-02-28,1.6388017164601143,0.9935459959454995,0.9935459959454995
2025-03-31,1.3015550089165107,1.0553890649251052,1.0553890649251052
2025-04-30,1.1250792346060745,0.9935979044452647,0.9935979044452647
2025-05-31,0.9550517146129422,0.9693738659186879,0.9693738659186879
2025-06-30,1.2961136243077487,1.3285393246039945,1.3285393246039945
2025-07-31,1.406250745703841,1.3126103525022748,1.3126103525022748
2025-08-31,1.2967317579670734,1.3090161213187956,1.3090161213187956
