1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
0.18,1.38,0.68,4.35,5.95,6.17,1.32,1.4,1.81,2.79
0.17,0.95,1.0,2.85,5.09,5.55,1.81,2.25,2.27,3.15
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45
