1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
2.14,1.82,2.99,6.94,13.57,7.94,3.91,5.0,4.03,5.73
2.17,1.92,3.08,6.66,13.58,8.29,4.25,5.49,4.69,5.99
0.0,0.0,0.25,1.4,2.93,3.86,4.93,4.24,3.92,3.54
