1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
-0.57,1.92,2.31,7.44,13.17,12.65,4.22,6.39,5.74,7.45
-0.9,1.68,1.46,6.09,11.74,11.13,4.43,6.86,6.04,7.77
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45
