Date,PMP_Duration,SAA Target,Peer Group
2022-12-31,0.942040483063078,0.8077390911315208,1.1872916142094292
2023-01-31,3.257765124081957,2.657035955765208,2.953039895627141
2023-02-28,-0.7399344365373373,-0.9494575489667589,0.2899964625943774
2023-03-31,3.1945506990230133,3.145190758942329,3.0922496899647767
2023-04-30,0.8231886612477313,0.8989593567030774,1.2844284150935303
2023-05-31,1.8871922733994628,1.9628400579949412,1.8012170738482158
2023-06-30,-1.2814471276995643,-1.68519859837859,-0.7483518474109219
2023-07-31,-1.1071243099217365,-1.625753518587414,-0.576256046395851
2023-08-31,-0.5748600189116049,-0.9296197643487658,0.19685714319044312
2023-09-30,-1.753019010850132,-1.4673716049728447,-0.3416000869136959
2023-10-31,-3.357009279177514,-2.8640638197603763,-1.7452503177155854
2023-11-30,0.018027132306630556,0.25491613913741773,0.2692691979577777
2023-12-31,5.174635782234582,5.065368530831305,3.652454658765514
2024-01-31,6.32511007434855,5.90255293555737,4.6600834698082405
2024-02-29,2.357311387400296,1.9841932997497036,2.1305829903104145
2024-03-31,0.15476791629081,0.006566422698139895,0.729654924341272
2024-04-30,-1.5859587733832337,-1.2441616870061623,-0.6904935491974018
2024-05-31,-0.32723595908368264,-0.36800197785455957,0.07174067456630073
2024-06-30,-0.7154886549257222,-0.5131407049368542,-0.20073247619576406
2024-07-31,2.951937460177545,2.8219480188352186,2.4490873434100724
2024-08-31,3.17531528734194,3.807928700342744,2.7128647476227785
2024-09-30,3.5245083704991353,3.600922310741317,2.797398670423412
2024-10-31,-0.4324608075552572,0.10946942444152175,0.30716361230478384
2024-11-30,-0.15323072445322383,-0.22344575725299354,0.3392881708412565
2024-12-31,-1.3906668462912553,-0.996672855913805,-0.2560046691028828
2025-01-31,1.2626163412009284,0.9704963615361439,1.2940124064338088
2025-02-28,1.375597971579734,1.2767343505330597,1.2716018561548026
2025-03-31,2.1221579740879903,1.284640344350696,1.2442596923941007
2025-04-30,2.525594556189592,2.334869301255593,1.68873860636094
2025-05-31,1.0924854614525081,0.8730056588740487,1.0138906540185344
2025-06-30,1.7048840772038831,1.9063698350812786,1.8505506630139834
