1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception (p.a.)
1.1,4.0,6.08,11.06,11.93,12.11
1.48,3.51,4.73,8.74,9.15,9.81
0.0,-0.38,0.74,1.9,2.28,2.65
