Date,Euree_Balanced,SAA Target,Peer Group
2023-08-31,0.6056304570490223,1.4566668946533357,1.4473552210862328
2023-09-30,-0.45329818420176693,-2.3904312866616317,-2.2509765282588745
2023-10-31,-0.6714960333749631,-1.6533059696011931,-1.6395021444724711
2023-11-30,2.3429712125531132,3.7193173388500256,3.403401725475219
2023-12-31,2.661580875552594,3.223925650771542,3.288234549697844
2024-01-31,1.21158666575778,1.415824277513944,0.8555969546019782
2024-02-29,1.6004185879532562,1.2422266755462985,1.4464228070199647
2024-03-31,2.630808896260395,2.2556994375029893,1.9760661477156605
2024-04-30,-1.6105929977101252,-1.8371087755076343,-2.0379282661366904
2024-05-31,0.7462252150212345,0.9180523848717037,0.9026024803071353
2024-06-30,1.0020175838693524,1.1642492859769815,0.712905957175769
2024-07-31,2.4442450002288174,2.431904579155786,2.3220056919534215
2024-08-31,0.3543604132883793,0.3570059523252178,0.41154394415416906
2024-09-30,1.5290719097315497,1.2071152713233557,1.133505581826122
2024-10-31,-0.015075642627215835,0.46240103703292235,-0.2457012879313658
2024-11-30,1.8498444374420941,2.1991094435021896,2.1979029835110353
2024-12-31,-0.3315678753525342,-0.5496417981655566,-0.701249539584825
2025-01-31,2.090054554010101,2.0021352145122906,1.747795827643106
2025-02-28,-0.48435746319572814,-0.950273464976159,-0.3270757917302136
2025-03-31,-1.5246818044194699,-1.9047562184370426,-1.7291376951886095
2025-04-30,1.2025269804575744,0.9501633717121205,0.5873969241236177
2025-05-31,2.3485355984844247,2.586722157849519,2.3570611039460454
2025-06-30,1.2643158887407857,1.1340609862996454,1.2536476932604845
2025-07-31,1.5823733467169365,1.5487896922852018,0.7403042683991279
2025-08-31,1.1002159341220619,1.2690846229640895,1.475477090817079
