Date,Euree_Balanced,SAA Target,Peer Group
2022-12-31,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0
2023-02-28,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0
2023-04-30,0.0,0.0,0.0
2023-05-31,0.0,0.0,0.0
2023-06-30,0.0,0.0,0.0
2023-07-31,0.0,0.0,0.0
2023-08-31,0.5510635131427133,1.4867743646151732,1.4473552210862328
2023-09-30,0.11343914469730265,-0.9364404208052735,-0.8362009334798248
2023-10-31,-0.48205400234575535,-2.291678525087737,-2.4619935457157904
2023-11-30,1.203405897301324,-0.2853985151777816,-0.5813247381930786
2023-12-31,4.2823355715554845,5.250817141131048,5.052501644995178
2024-01-31,6.258654174744849,8.276768953924908,7.717356011581877
2024-02-29,5.609373578086307,5.9178953019267455,5.678732607043813
2024-03-31,5.465936447127451,5.020659298648278,4.336195441092294
2024-04-30,2.1383669245263137,1.3791439987399734,1.3428126040385013
2024-05-31,1.4587690064667536,1.3131640079828033,0.7995476969538506
2024-06-30,-0.18760755440445642,-0.0950054903863351,-0.44903915960111673
2024-07-31,4.421892398001659,4.8694775670327095,3.981610448419759
2024-08-31,3.831692242492979,4.085811648224724,3.475567431109128
2024-09-30,4.49755790487516,4.420098617801815,3.9077045480791384
2024-10-31,1.6627481463344918,1.7703754748585876,1.3002054433886245
2024-11-30,3.3274044474409514,3.7785990584570994,3.102374104226535
2024-12-31,1.5078085018006337,2.1017113422411082,1.231899944065007
2025-01-31,3.7649681977198313,3.7236189430277955,3.2549255494588314
2025-02-28,1.3351725596189246,0.7300363876529659,0.7038311743270187
2025-03-31,0.19551683272507336,-0.5806912261961839,-0.33860163382073427
2025-04-30,-0.8133955570774454,-1.5134600846227197,-1.475205885997699
