Date,PMP_Balanced,SAA Target,Peer Group
2022-12-31,-2.64154850438314,-1.9339150608484679,-2.46007558032324
2023-01-31,4.07475928085046,2.979733191943179,3.784605295299226
2023-02-28,-0.6787396923852773,-0.15248255762840834,-0.8900276432812104
2023-03-31,0.42844617707200605,0.37676688493617494,1.0006804391879065
2023-04-30,1.9111868157410283,1.726625888638167,1.5405949743585223
2023-05-31,-0.45208644967054123,-0.48670427037763586,-0.9759610099327354
2023-06-30,1.6157592540148036,1.1387445705256516,1.330591350505772
2023-07-31,1.9881718285679861,2.1785010772100044,1.7689955389723622
2023-08-31,0.36519684317739554,0.09097428650228778,-0.11987906825646766
2023-09-30,-2.5788229748815117,-2.528276562347942,-2.6439600228863602
2023-10-31,-2.0428753316697357,-2.0492037714484046,-2.1086048061506157
2023-11-30,4.330679681659966,3.9500192241261445,3.9169961289039934
2023-12-31,4.061797438051573,3.6981766209275513,3.71666175657428
2024-01-31,1.5318025815034275,1.5380110845750972,1.1702029511230005
2024-02-29,2.5081206643036813,1.5499349151403718,2.036079213588926
2024-03-31,2.662832051406294,2.5520261518348297,2.5837409282478685
2024-04-30,-2.5756772569722974,-1.9129452351943521,-2.3634098648849133
2024-05-31,1.244534253037255,0.6719165716872588,1.0289119606427422
2024-06-30,0.9282971940401286,1.4249583316812808,0.8627051049585388
2024-07-31,3.0033503090537206,2.6637671852415057,2.6356579413082004
2024-08-31,0.38328034163457314,0.15780683934001338,0.24561527116027104
2024-09-30,1.2436980309569856,1.5498684404885,1.6296388155718322
2024-10-31,-0.411787816556608,0.4905933768809545,-0.22399699074293622
2024-11-30,2.558437007837755,2.2647602191591565,2.6122533800263747
2024-12-31,-1.1808621237449635,-0.632888166049328,-0.9040716886026479
2025-01-31,2.4093332639278486,2.4136439246759345,2.213198483653178
2025-02-28,-0.7457738342165565,-1.4633310986722603,-0.916319734199933
2025-03-31,-2.0387875455998627,-2.156736315328922,-2.2380257791336455
2025-04-30,0.6248729729642744,1.1455289797140278,0.6455950459436366
2025-05-31,2.6701322325769494,2.990428378766441,2.9440927067506006
2025-06-30,0.9641527386961668,1.3344797712123269,1.4207947973085
2025-07-31,1.2116592498055523,1.7955735347245483,0.9595029695099733
2025-08-31,1.5817571595969193,1.509690820895937,1.6996540083600076
