Date,PMP_Balanced,SAA Target,Peer Group
2022-12-31,4.9916761378312025,4.50835744889313,4.519595247791974
2023-01-31,4.796499513060759,3.9877452020432136,4.602446698060003
2023-02-28,0.6378371441233543,0.15113311701715482,0.33043789308484506
2023-03-31,3.811240377632208,3.699032528953694,3.890202460716985
2023-04-30,1.65314611153069,1.7386805309713482,1.6439089386369066
2023-05-31,1.8851207675809167,1.8144437767390054,1.5557785206071317
2023-06-30,3.0896553475539656,2.3269062164551046,1.8875026168769793
2023-07-31,3.167530590569312,2.7009282977777493,2.116683498973093
2023-08-31,4.014530754700529,3.372075142797537,2.999501949714234
2023-09-30,-0.27907001602262005,-0.5581063117481078,-1.0405101184764454
2023-10-31,-4.220505227782912,-4.022949648507357,-4.811062732124305
2023-11-30,-0.4362059413358321,-0.5859151932976703,-0.9637920608828177
2023-12-31,6.35046389169811,5.567752906550805,5.506601160953495
2024-01-31,10.23143381212579,9.117419078194033,9.040475222560929
2024-02-29,8.305794160362655,6.863245057481526,7.066822384812466
2024-03-31,6.849774170955181,5.781294257156344,5.897306985375805
2024-04-30,2.5271552279833465,1.8919894801974868,2.198588684642222
2024-05-31,1.263334183442466,1.3531981358868572,1.189817349896738
2024-06-30,-0.4475555261493236,-0.20406072391880858,-0.5078327751175782
2024-07-31,5.253339449018846,5.109588332057435,4.586241991873008
2024-08-31,4.357983951979327,4.295186688565211,3.7753646348095193
2024-09-30,4.684102556894754,4.830273555742282,4.564445449039112
2024-10-31,1.2132380780727647,1.9822651499879829,1.6510502592647303
2024-11-30,3.4063786963538067,4.244600644285357,4.05086843284872
2024-12-31,0.9300271761580436,2.152986897933573,1.456794682422391
2025-01-31,3.789159005897469,4.060358939141673,3.935046299936018
2025-02-28,0.4452969650906802,0.5284122601788566,0.36098571828613313
2025-03-31,-0.42674640246052054,-0.9573012686871274,-0.9899976138235234
