1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),5 Years (p.a.),Since Inception (p.a.)
0.28,3.1,7.55,8.08,13.12,12.76,9.53,8.96
0.58,3.28,8.52,9.01,12.55,11.52,8.64,8.02
0.6,-0.01,1.34,2.05,2.08,3.24,3.98,3.18
