Date,RAJOMON90,SAA Target,Peer Group
2023-09-30,0.0,0.0,0.0
2023-10-31,-4.117407537685014,-3.213556367188275,-2.1086048061506157
2023-11-30,6.011460028062032,6.31614064185011,3.9169961289039934
2023-12-31,6.510678511992141,5.783938855051085,3.71666175657428
2024-01-31,1.5925432192551936,1.0148394728564991,1.1702029511230005
2024-02-29,3.152176808059104,1.7078558015195533,2.036079213588926
2024-03-31,3.8864545892423275,3.32692544730655,2.5837409282478685
2024-04-30,-3.3454351050738795,-3.245924498753139,-2.3634098648849133
2024-05-31,0.6938780824932822,1.7812499851629582,1.0289119606427422
2024-06-30,1.8085018408279252,1.2846776758268064,0.8627051049585388
2024-07-31,3.5129934656712214,3.4653153695627603,2.6356579413082004
2024-08-31,-0.35169123761831234,1.1692435989974825,0.24561527116027104
2024-09-30,1.870674111637305,2.370507102870212,1.6296388155718322
2024-10-31,0.7387738879616634,-1.0276954111748005,-0.22399699074293622
2024-11-30,2.292268681463727,3.2074761570681565,2.6122533800263747
2024-12-31,-1.034245377961196,-2.6535560417941917,-0.9040716886026479
2025-01-31,3.444952856643946,3.11116813612633,2.213198483653178
2025-02-28,-1.952766615877477,-1.5537334664769809,-0.916319734199933
2025-03-31,-3.070785770870099,-3.2811685716302774,-2.2380257791336455
2025-04-30,-0.3224776545984298,1.7099349380155893,0.6455950459436366
2025-05-31,3.519049921769235,3.8081200277061855,2.9440927067506006
2025-06-30,1.3750415536018412,1.862948617579474,1.4207947973085
2025-07-31,1.8110324391999777,1.7678415851590357,0.9595029695099733
2025-08-31,1.7252995233286494,2.1997577955817693,1.6996540083600076
2025-09-30,0.4258025899545048,0.5811774750207555,0.579308888918173
2025-10-31,1.8826987285595953,1.2035930533997208,1.1281953010035428
2025-11-30,0.07417017981354856,-0.9262510255698242,-0.5846977370164819
2025-12-31,0.19278536671947233,0.5807767806155661,0.2236031665406868
