Date,RAJOMON90,SAA Target,Peer Group
2023-09-30,0.0,0.0,0.0
2023-10-31,-4.117407537685014,-3.213556367188275,-2.1086048061506157
2023-11-30,1.6465361820566793,2.8996115349051,1.7257973541225713
2023-12-31,8.264415371446155,8.851262148169114,5.506601160953495
2024-01-31,14.7117220683614,13.60674449440653,9.040475222560929
2024-02-29,11.617780130754984,8.682447626102064,7.066822384812466
2024-03-31,8.867726775397045,6.158111380977682,5.897306985375805
2024-04-30,3.576132943793864,1.6804063365843502,2.198588684642222
2024-05-31,1.107730594044587,1.7537807122094407,1.189817349896738
2024-06-30,-0.9146416921648304,-0.257373989234988,-0.5078327751175782
2024-07-31,6.116271468530021,6.661163393155101,4.586241991873008
2024-08-31,5.0143979492558,6.019814292392778,3.7753646348095193
2024-09-30,5.0785279921317095,7.15640708066041,4.564445449039112
2024-10-31,2.262351009970054,2.503109591363395,1.6510502592647303
2024-11-30,4.975669084902901,4.568215228613348,4.05086843284872
2024-12-31,1.982208310075828,-0.5637053909210432,1.456794682422391
2025-01-31,4.721790068490339,3.5945614772294743,3.935046299936018
2025-02-28,0.37593186266824397,-1.1845053250793436,0.36098571828613313
2025-03-31,-1.6896274865722871,-1.8215891267902462,-0.9899976138235234
2025-04-30,-5.270058302679537,-3.155788429737516,-2.508474898662849
2025-05-31,0.016626937677743925,2.1188095056001943,1.2899053732329246
