1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
-0.11,2.7,2.8,7.67,15.33,13.35,8.81
-0.9,1.68,1.46,6.09,11.74,11.13,5.88
0.0,0.0,0.0,0.97,2.86,3.53,4.86
