1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
-0.0,1.53,1.15,5.25,8.28,8.3,2.31,2.94,3.07,4.22
-0.47,1.01,0.39,3.93,6.4,6.6,1.96,2.86,2.85,3.87
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45
