Date,Wattle0005,SAA Benchmark,Peer Group
2021-12-31,0.0,-0.6539913249300033,0.0
2022-01-31,-3.833446258836948,-3.6871672797886057,-4.3372189794821825
2022-02-28,-1.467744903912549,-1.8850458113887747,-1.5193645249740428
2022-03-31,3.3605543998341147,2.5841160065452007,1.85571760562524
2022-04-30,-2.0819585594361034,-1.7081476146281416,-1.664313082214397
2022-05-31,-2.3349064298385014,-1.5410169395363216,-1.9629970569991717
2022-06-30,-6.428612171033599,-6.365316376699881,-6.371626065472968
2022-07-31,6.032028684091828,5.5423882345480235,5.393254235903044
2022-08-31,-1.2660642376469244,-0.4311054680044335,-0.44027296373416736
2022-09-30,-5.245113322266359,-4.777089830895786,-4.657834930232019
2022-10-31,7.079366153626454,6.353329380986894,5.90891133636513
2022-11-30,4.058593240370412,4.948115244891715,4.304881322548604
2022-12-31,-4.181054663170869,-4.121269375573888,-3.650262235260815
2023-01-31,4.510501531434485,4.688620913153607,4.660780842130774
2023-02-28,0.029544115610047328,-0.48817864391640375,-0.2967881836162811
2023-03-31,1.8141122915926955,2.0399857751385975,1.238075568784347
2023-04-30,1.8827043430800439,1.9868141422417551,2.1229008769734437
2023-05-31,0.8212439805785232,-0.18656074662956046,-0.8725212763317947
2023-06-30,2.4109730281128616,2.370221899976044,1.9062055598883187
2023-07-31,2.801770519551039,2.6918160184964623,2.3511096595157044
2023-08-31,0.16593315948949527,0.23783703065896056,-0.14254851537859325
2023-09-30,-3.5084214655505486,-3.4037925194956853,-3.3423092955425338
2023-10-31,-1.8955292767813492,-2.212894963533729,-2.817253723708646
2023-11-30,4.421516119581148,4.64038077110589,4.458401273193879
2023-12-31,4.263927301261683,3.954429969509543,4.262597166715287
2024-01-31,3.21099398644229,3.1186198114572905,2.1916649826626333
2024-02-29,3.0451821971014814,2.814069721476886,3.339253932372488
2024-03-31,2.9384977380705557,3.143930339202705,2.896657523063606
2024-04-30,-3.2554600902440667,-2.727143141416033,-2.8784759227684087
2024-05-31,1.1221987381158982,1.2490096033542342,0.9094650586650932
2024-06-30,1.6736631235088284,1.4577948267574747,0.5581053019158011
2024-07-31,3.646036427530408,4.091960489446711,3.3497161288053023
2024-08-31,-0.5529016623005867,-0.472188318563449,-0.20460576552382426
2024-09-30,1.4392755882641106,1.5121730626123098,1.5004555475071513
2024-10-31,1.3479075388239004,1.296697402122704,0.618044960055375
2024-11-30,4.548668829701907,3.864564316463781,3.688970725993479
2024-12-31,0.23506953355161286,0.23315257960481173,-1.0963572134467414
2025-01-31,2.5858832808653753,3.3214962485887956,3.531977275951226
