Date,Wattle0005,SAA Benchmark,Peer Group
2021-12-31,0.0,-0.6539913249300033,0.0
2022-01-31,-3.833446258836948,-4.317044850573137,-4.3372189794821825
2022-02-28,-5.244925950641188,-6.120712388830407,-5.790685337911528
2022-03-31,-2.0606301406093874,-3.0607886582086907,-4.04242649958827
2022-04-30,-0.2768540259167618,-1.0688982719310847,-1.361283829883253
2022-05-31,-1.1544963304462863,-0.7220076720211188,-1.8056284789524035
2022-06-30,-10.516047318838917,-9.383014015604385,-9.737228786351737
2022-07-31,-3.1009515931332277,-2.6986176034971443,-3.259055865337268
2022-08-31,-2.040492963192231,-1.6017555685574947,-1.7564623341508656
2022-09-30,-0.8014928105410823,0.06727024345101196,0.04180561466751165
2022-10-31,0.17834615689922284,0.836142998840006,0.5312797065556207
2022-11-30,5.5808997559337215,6.283826952523119,5.322739536806953
2022-12-31,6.766530118222924,7.015826296605043,6.435786596722104
2023-01-31,4.205170522001533,5.340748014946839,5.181446907521892
2023-02-28,0.17044606520104644,-0.11588418220932484,0.5411055283690791
2023-03-31,6.437876227190076,6.3027606939666025,5.642093848803165
2023-04-30,3.761617403572215,3.5592961597662676,3.080418393117834
2023-05-31,4.582855360953841,3.873181854215013,2.485183726162732
2023-06-30,5.19594718755001,4.209350825520652,3.1615441222542895
2023-07-31,6.144901552133208,4.92971637937365,3.39207390731866
2023-08-31,5.454988396489746,5.375868107397763,4.153451061489988
2023-09-30,-0.6403513819162487,-0.5676745617874568,-1.2108045511808774
2023-10-31,-5.18037102222606,-5.316707517420072,-6.199304061487865
2023-11-30,-1.1519275721207811,-1.1581248006303113,-1.8774203589710603
2023-12-31,6.810235608392445,6.371161575278816,5.842741736429158
2024-01-31,12.369910400619478,12.170693316811265,11.298007298795332
2024-02-29,10.88881220076896,10.212954104287242,10.10558172661562
2024-03-31,9.479165415708035,9.353658751672178,8.663093402377653
2024-04-30,2.619993072036797,3.154433352219632,3.2718788168873525
2024-05-31,0.704944303805366,1.5841921383035862,0.8436741166642836
2024-06-30,-0.5324460041149393,-0.07644570344008672,-1.4482195538504383
2024-07-31,6.563303049779923,6.928479348807448,4.871691727144789
2024-08-31,4.7980701549664495,5.11073241804747,3.7138767296257535
2024-09-30,4.556479947557612,5.167068515318873,4.685800344474655
2024-10-31,2.238163923606673,2.342934708628297,1.9188146836518483
2024-11-30,7.482914237567928,6.802351471398782,5.895237683326537
2024-12-31,6.206962932194071,5.456676454856391,3.1859877291566363
2025-01-31,7.504292565719961,7.56462826685167,6.174288528590655
