1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
0.09,2.4,2.14,6.31,12.14,10.91,7.14
-0.7,1.48,1.23,5.19,9.23,9.03,4.62
0.0,0.0,0.0,0.97,2.86,3.53,4.86
