Date,PMP_IntEq,SAA Target,Peer Group
2022-12-31,5.844525854324978,4.666580793392949,5.1140999937991705
2023-01-31,3.52150666766875,0.09275702016271481,2.653900933229858
2023-02-28,0.13596641569411094,1.8769053987980122,0.614678890302045
2023-03-31,7.864953655785034,7.1257697890891425,8.2836054254946
2023-04-30,5.523187195093504,8.282754384709733,6.769842417031224
2023-05-31,6.841940238535282,7.133471062583796,5.954744490459896
2023-06-30,9.41180935721746,6.867025803891336,5.419009519940854
2023-07-31,8.93008648190512,7.876661751676584,4.942109779104342
2023-08-31,8.992713888699289,6.74320843330245,5.089014284382065
2023-09-30,0.9488251306535522,0.568717022085119,-1.34090262617782
2023-10-31,-2.8816693964708096,-5.365122919410215,-4.811037649261829
2023-11-30,1.0547993429649072,-1.4336986685366426,-1.2644855717376835
2023-12-31,6.789882293394056,4.512564190020418,4.923600862470456
2024-01-31,13.134976385526898,12.2014986635544,10.243878704606013
2024-02-29,14.302644822421007,11.518344975764894,11.364588747814386
2024-03-31,14.881352313931329,12.906971574255067,11.869898749618146
2024-04-30,6.20391970995442,5.647880906084235,4.990761159931445
2024-05-31,2.395943528877087,1.3448287186976549,1.1105581504295081
2024-06-30,1.13471609951592,1.9998318886432997,-1.1081311508849612
2024-07-31,7.758365048548876,6.419982058404572,5.0987577680138285
2024-08-31,3.7955873757683056,4.398499620864138,2.683392726201239
2024-09-30,0.8767828711759407,1.5218255017381388,2.3489827638042415
2024-10-31,-0.5642148999843055,3.2587738210703154,1.9576311924373924
2024-11-30,4.011846944464792,8.406841099134187,6.750124626453613
2024-12-31,5.784932366090545,10.297307339033225,7.692073506441766
2025-01-31,8.042065932950626,9.69369721100688,8.360278775139808
2025-02-28,2.0528020644199785,4.366374970866294,3.6520592158142184
2025-03-31,-1.81197448796091,-2.7639101576137692,-1.5423037797627992
2025-04-30,-5.479989355279347,-7.137511077702596,-5.978518932033028
2025-05-31,1.2171476637459655,0.32672717722481703,-0.8049306505255371
2025-06-30,6.296337560379084,7.574054918611317,5.567688774878277
2025-07-31,7.585617420071111,12.834372391440008,8.691236578544537
2025-08-31,2.6386694279933787,7.392751997389979,4.557867171003593
2025-09-30,2.0352479895320963,6.762594107167663,3.787337461854068
