Date,PMP_IntEq,SAA Target,Peer Group
2022-12-31,-5.039017277012636,-5.2602999199542255,-4.263568593729272
2023-01-31,5.198815804278212,3.2798102863270673,3.822303033280705
2023-02-28,0.2383806702039415,1.2549044865912684,1.2263207859305458
2023-03-31,2.2905392254493506,3.9280890626462117,3.033534247464198
2023-04-30,2.914931649086583,2.0248843008273676,2.370907310283732
2023-05-31,1.4910879954111778,1.7158482585041046,0.4535429835171634
2023-06-30,4.750933498540433,2.8485743547312703,2.5125696819037646
2023-07-31,2.4618134977843598,2.483780944025993,1.9077967253162686
2023-08-31,1.5494384829500607,0.9357431254503057,0.5941641132662268
2023-09-30,-2.9799030528289916,-3.8223211836095894,-3.7597063483851834
2023-10-31,-1.426091243400407,-1.083048733112657,-1.6766047536666329
2023-11-30,5.665512015219543,4.240553359810839,4.342103295628186
2023-12-31,2.5262016296641487,1.3543939772034275,2.2719962159688745
2024-01-31,4.4308374530050765,4.959173321469135,3.309001695146274
2024-02-29,6.756087955483836,4.554643414656989,5.402817454699305
2024-03-31,3.0452856898043335,2.9285339380933806,2.73604913596297
2024-04-30,-3.4572273679852605,-2.581070706019184,-3.043706628159626
2024-05-31,2.9283136018657396,1.4490147761186734,1.5073858473914514
2024-06-30,1.7760602078233267,1.8983209359811237,0.48169135921964923
2024-07-31,2.8656799297575253,3.8489307521461846,3.041697055184378
2024-08-31,-0.8568405516393485,-1.3779634856468048,-0.8254427841586809
2024-09-30,-1.0859537804862596,0.22827923277695117,0.15445169819072735
2024-10-31,1.3962712978728309,3.5099560167464627,2.647696753765527
2024-11-30,3.7057545808217185,3.917091478167256,3.8362329405480233
2024-12-31,0.6002296543630381,2.9531598050021035,1.0382012388405526
2025-01-31,3.559763984230524,2.4264898444713134,3.2846027911117126
2025-02-28,-2.043127796668931,-0.1250385994829295,-0.6754182698725963
2025-03-31,-3.2095374550877187,-3.901235409210302,-4.025172297829361
