1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),5 Years (p.a.),Since Inception (p.a.)
1.05,2.04,8.46,12.66,18.72,21.13,15.13,15.06
1.39,3.79,9.57,16.17,17.46,17.76,12.41,12.45
0.6,-0.01,1.34,2.05,2.08,3.24,3.98,3.18
