1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
-0.28,1.74,1.77,6.36,10.77,10.58,3.28,4.68,4.48,5.89
-0.7,1.48,1.23,5.19,9.23,9.03,3.49,5.1,4.67,6.07
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45
