1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),6 Years (p.a.),Since Inception
-0.04,1.32,0.28,3.83,5.51,5.5,0.75,1.03,1.41,2.65,2.67
0.17,0.95,1.0,2.85,5.09,5.55,1.81,2.25,2.27,3.15,3.09
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45,3.49
