Date,BON032(Total),SAA Benchmark,Peer Group
2023-12-31,2.7730736493968955,2.8621641800438136,3.288234549697844
2024-01-31,0.8637891667920616,1.7973337190234195,0.8555969546019782
2024-02-29,2.1128084044212514,1.5642122607220976,1.4464228070199647
2024-03-31,1.856874700861444,2.1038924310840645,1.9760661477156605
2024-04-30,-2.1765359211494917,-2.2099483407522214,-2.0379282661366904
2024-05-31,0.8703472887138908,0.99377498975175,0.9026024803071353
2024-06-30,0.7755462407940783,1.0568027521864032,0.712905957175769
2024-07-31,2.802826973609207,2.9442548798114476,2.3220056919534215
2024-08-31,0.35384709857506635,0.2645058434345149,0.41154394415416906
2024-09-30,1.0796657412164956,1.1055764721409567,1.133505581826122
2024-10-31,-0.37446574184554215,0.11860740018476701,-0.2457012879313658
2024-11-30,2.201292116632647,2.434651682134259,2.174747121753451
