1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),6 Years (p.a.),Since Inception
-0.45,1.74,1.36,5.7,10.24,9.43,3.03,4.75,4.4,6.02,5.81
-0.7,1.48,1.23,5.19,9.23,9.03,3.49,5.1,4.67,6.06,5.79
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45,3.49
