1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
1.69,0.97,1.88,5.54,10.31,6.01,2.36,2.85,2.52,4.09
1.47,0.84,1.79,5.02,9.7,6.03,2.45,3.09,2.83,3.88
0.0,0.0,0.25,1.4,2.93,3.86,4.93,4.24,3.92,3.54
