1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
0.21,1.61,0.7,3.97,6.3,6.28,3.83
0.17,0.95,1.0,2.85,5.09,5.55,2.38
0.0,0.0,0.0,0.97,2.86,3.53,4.86
