1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception (p.a.)
0.5,3.71,9.23,11.34,15.06,13.28
1.08,3.34,7.73,8.68,10.99,9.28
0.6,-0.01,1.34,2.05,2.08,2.64
