Date,EMFS_Atchison60_withDirectAus,SAA Target,Peer Group
2022-12-31,-1.6611953624886766,-2.0049276903023494,-2.0333319810240003
2023-01-31,3.3712012764015142,2.6942750583321073,3.1492006384428617
2023-02-28,0.07657030938368337,-0.02765799943706959,-0.8808670870188551
2023-03-31,1.136695207636751,1.2455191676009836,1.106903792452285
2023-04-30,1.7538958638622315,1.5436559304513153,1.2197049685242822
2023-05-31,-0.44791631771523566,-0.21193759710850246,-0.7625064016404837
2023-06-30,1.1994215679490772,0.9826796026468632,0.8064920317478741
2023-07-31,2.158699086025395,1.8020669935198574,1.3256015090009399
2023-08-31,-0.3591784319602942,0.2571855430904213,-0.0704626369364858
2023-09-30,-2.544650444278751,-2.192103728324335,-2.2509765282588745
2023-10-31,-2.2202786831491905,-1.869831170557601,-1.6395021444724711
2023-11-30,4.288554444838599,3.61885898634815,3.403401725475219
2023-12-31,3.7576940833174532,3.3892947552512043,3.288234549697844
2024-01-31,1.9154724967197945,1.8872442925414123,0.8555969546019782
2024-02-29,2.126879989804631,1.2897602017138077,1.4464228070199647
2024-03-31,2.2326864750316533,2.155833048899436,1.9760661477156605
2024-04-30,-1.9513255546802388,-1.7362452863360023,-2.0379282661366904
2024-05-31,0.8533822586753059,0.5961428012440262,0.9026024803071353
2024-06-30,1.7746912858605635,1.5073511120746286,0.712905957175769
2024-07-31,2.647613402859794,2.25882292020243,2.3220056919534215
2024-08-31,0.5497943979493769,0.050288543305265776,0.41154394415416906
2024-09-30,1.7148044334446055,1.0869026411269855,1.133505581826122
2024-10-31,0.2921567288741711,0.6947206313793197,-0.2457012879313658
2024-11-30,1.8135122743295318,2.4370304697993728,2.1979029835110353
2024-12-31,-0.2304652407309815,-0.06138315547733475,-0.701249539584825
2025-01-31,2.5234268207293686,2.351570594055219,1.747795827643106
2025-02-28,-0.7488178925257549,-1.3349832253153227,-0.3270757917302136
2025-03-31,-1.6680307401567451,-2.1803326873033657,-1.7291376951886095
2025-04-30,1.0986344803640247,1.1497774118095938,0.5873969241236177
2025-05-31,2.8205333145930878,2.371630065423602,2.3570611039460454
2025-06-30,1.322044774137554,1.2136330740362355,1.2536476932604845
2025-07-31,2.0640723855784637,1.409885772749253,0.7403042683991279
2025-08-31,1.1050360506013934,1.2240120370490937,1.475477090817079
2025-09-30,0.5006808681804031,0.613705861677416,1.0841573294779971
