Date,EMFS_Atchison60_withDirectAus,SAA Target,Peer Group
2022-12-31,5.511137672832089,4.188506480097898,3.6023008325247297
2023-01-31,5.1724749790848845,2.856521719625116,3.893593745797941
2023-02-28,1.7318404597636672,0.6074953825760065,0.16170259875512016
2023-03-31,4.626268129014632,3.9445949891187437,3.372298283932218
2023-04-30,2.9893264310422163,2.7799668814042056,1.4386293781739612
2023-05-31,2.449574476313776,2.5905119725106784,1.5597598334573304
2023-06-30,2.5131151022878884,2.3241807239085643,1.2580025337687095
2023-07-31,2.9209386942504967,2.5845780877438163,1.3639391413416968
2023-08-31,3.0126794812016744,3.0668481935025804,2.070811911955084
2023-09-30,-0.7984775805133459,-0.17345908402280896,-1.0250035660488543
2023-10-31,-5.050697560110051,-3.774102009464708,-3.921321171454384
2023-11-30,-0.6217999694006493,-0.5475996487997126,-0.5813247381930786
2023-12-31,5.8048934648792905,5.127642306781377,5.052501644995178
2024-01-31,10.28008225750552,9.152627590264895,7.717356011581877
2024-02-29,7.994216488398642,6.69914320771996,5.678732607043813
2024-03-31,6.406941412071077,5.426194131523832,4.336195441092294
2024-04-30,2.3697315201100855,1.6768463262240463,1.3428126040385013
2024-05-31,1.0932054885678166,0.9805782168286425,0.7995476969538506
2024-06-30,0.6403150934498614,0.33955675981216515,-0.44903915960111673
2024-07-31,5.360814053795204,4.419019978344574,3.981610448419759
2024-08-31,5.043657966150117,3.852422044489523,3.475567431109128
2024-09-30,4.9818475694555,3.4222601737043723,3.9077045480791384
2024-10-31,2.5728271810874004,1.8403625023495795,1.3002054433886245
2024-11-30,3.8619706956587008,4.2698073998374,3.102374104226535
2024-12-31,1.8756370147383628,3.085365739012502,1.231899944065007
2025-01-31,4.142135905316469,4.781551828076336,3.2549255494588314
2025-02-28,1.5212015076116359,0.9232063969541349,0.7038311743270187
2025-03-31,0.05839648301433353,-1.2166189047898457,-0.33860163382073427
2025-04-30,-1.3321387470216273,-2.3765150669137203,-1.475205885997699
2025-05-31,2.2162346041974423,1.2909703151398721,1.1780124992451624
2025-06-30,5.324422740303314,4.805376923000337,4.2490377272419
2025-07-31,6.330214664011935,5.074885719822664,4.407511293410193
2025-08-31,4.556160528563558,3.8969633490994804,3.508267100443563
2025-09-30,3.708579366980591,3.2811311365656515,3.3350026873085747
