Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G11,PeerGroup,OptimiserCategory,Type
0.01130296775274004,MSCI INC,Growth,International Shares,Global Shares,Global Shares,Financials - 40,New York Stock Exchange Inc.,USD,United States,,Financial Exchanges & Data - 40203040,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.015685531408144472,TE CONNECTIVITY LTD,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,New York Stock Exchange Inc.,USD,United States,,Electronic Manufacturing Services - 45203020,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.012820752909389402,PUBLIC STORAGE REIT,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,New York Stock Exchange Inc.,USD,United States,,Self-Storage REITs - 60108020,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.007957670620948305,CONSTELLATION BRANDS INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,New York Stock Exchange Inc.,USD,United States,,Distillers & Vintners - 30201020,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.015527740031767446,GENERAL MOTORS,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary - 25,New York Stock Exchange Inc.,USD,United States,,Automobile Manufacturers - 25102010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.013464301906601726,TRAVELERS COMPANIES INC,Growth,International Shares,Global Shares,Global Shares,Financials - 40,New York Stock Exchange Inc.,USD,United States,,Property & Casualty Insurance - 40301040,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.005205847489943237,CENTENE CORP,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,New York Stock Exchange Inc.,USD,United States,,Managed Health Care - 35102030,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.01026643202439126,DIGITAL REALTY TRUST REIT INC,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,New York Stock Exchange Inc.,USD,United States,,Data Center REITs - 60108050,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.012118671534550556,ARCHER DANIELS MIDLAND,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,New York Stock Exchange Inc.,USD,United States,,Agricultural Products & Services - 30202010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.012077709268923676,DOMINION ENERGY INC,Growth,International Shares,Global Shares,Global Shares,Utilities - 55,New York Stock Exchange Inc.,USD,United States,,Multi-Utilities - 55103010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.00756068780833354,GENERAL MILLS INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,New York Stock Exchange Inc.,USD,United States,,Packaged Foods & Meats - 30202030,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.011869977314797456,METLIFE INC,Growth,International Shares,Global Shares,Global Shares,Financials - 40,New York Stock Exchange Inc.,USD,United States,,Life & Health Insurance - 40301020,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.013671273859936968,SIMON PROPERTY GROUP REIT INC,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,New York Stock Exchange Inc.,USD,United States,,Retail REITs - 60107010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.008261711762816282,ONEOK INC,Growth,International Shares,Global Shares,Global Shares,Energy - 10,New York Stock Exchange Inc.,USD,United States,,Oil & Gas Storage & Transportation - 10102040,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.015223246928776902,NUCOR CORP,Growth,International Shares,Global Shares,Global Shares,Materials - 15,New York Stock Exchange Inc.,USD,United States,,Steel - 15104050,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.014479912602632003,D R HORTON INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary - 25,New York Stock Exchange Inc.,USD,United States,,Homebuilding - 25201030,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.010544854066039623,IQVIA HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,New York Stock Exchange Inc.,USD,United States,,Life Sciences Tools & Services - 35203010,World Large Blend Equity,International Equities - Unhedged,IEQStock
