1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
-1.18,4.42,8.5,13.25,19.22,18.63,16.18
2.75,6.22,9.21,11.28,11.39,9.96,7.14
0.0,-0.38,0.74,1.9,2.28,3.24,4.11
