Date,AtchisonDirectAus_20EW,SAA Target,Peer Group
2022-12-31,9.042540286879852,9.488959761672145,7.550707567238257
2023-01-31,10.721013627218245,9.54276314362934,7.628661447939455
2023-02-28,4.326102144168464,0.1349468790389885,0.36302700060193427
2023-03-31,8.680067773714217,3.3330000099376367,2.943502677697052
2023-04-30,4.179928032745384,-0.8256328644453248,-0.5891270782343416
2023-05-31,2.2306860533797046,-0.81211595353603,-0.97816754591602
2023-06-30,4.86119286111335,0.9867078869692625,0.8807902296155579
2023-07-31,4.938003565619242,1.960123625186272,1.7782283175953095
2023-08-31,3.9617259736966837,3.8570290872362856,3.134983638174371
2023-09-30,-2.1164530080827526,-0.8160395665358644,-1.160700188839836
2023-10-31,-8.481825253012886,-7.374499494704468,-7.632075400527604
2023-11-30,-0.9587561030333425,-1.8890837143703876,-2.5492544997569144
2023-12-31,9.176730302612523,8.383957102677542,6.681511185997069
2024-01-31,17.76633276652353,14.101149489619957,12.269555235783457
2024-02-29,13.923490011910623,9.402416783646729,8.772716320084161
2024-03-31,9.235315042431068,5.331794498138209,5.479209540606833
2024-04-30,2.2950860338091683,1.0384440225183367,1.5155897451515354
2024-05-31,1.0625833096429727,1.2006854012921897,0.5202692440021472
2024-06-30,1.3314866011117754,-1.1326584211875712,-1.837423714761588
2024-07-31,9.258088242931994,6.159223901091848,4.5770102447975525
2024-08-31,10.10749319556632,5.589979493075292,4.674285571930614
2024-09-30,10.378207767881698,7.458218427692209,6.9879668059511735
2024-10-31,3.156779036622015,2.020161188380243,1.8115529022142418
2024-11-30,6.283294059308164,5.457659208600019,4.9852828548551775
2024-12-31,1.0347559490165859,-0.5012486811816319,-1.2031195200195022
2025-01-31,7.169275359082539,5.156962159149603,3.9662346350681554
2025-02-28,-1.797669351153186,-2.603728576755515,-2.9433498833676186
2025-03-31,-4.570006330025144,-2.824331541734426,-3.36859740616422
2025-04-30,-4.947571713040622,-3.742048503153439,-4.525735304353762
2025-05-31,3.9097279799123807,4.3658076331665185,2.8163590024958607
2025-06-30,11.903190139926622,9.482884298553884,7.961323892939887
2025-07-31,11.662682772267608,8.182737879277724,7.585182272437274
2025-08-31,4.422198444200531,7.086056059221746,6.22213387175703
