Date,AtchisonDirectAus_20EW,SAA Target,Peer Group
2022-12-31,-3.6061049895226183,-3.1611139508094688,-3.078748175127688
2023-01-31,7.1157356786371695,6.1592014648010895,5.475199662713792
2023-02-28,1.0392647620969253,-2.595674429162109,-1.8242154748223105
2023-03-31,0.41681638056445536,-0.0683285409719292,-0.5867654161163083
2023-04-30,2.6803705846973225,1.886828214365055,1.8556916884428398
2023-05-31,-0.8512143364931557,-2.582398765006655,-2.208422473555216
2023-06-30,3.0006503476190494,1.7439842709218611,1.279540234267884
2023-07-31,2.755583839366116,2.8689202557442117,2.761802524714785
2023-08-31,-1.7736326637018296,-0.770004141381242,-0.904811226729374
2023-09-30,-3.021338823769937,-2.8340074912627244,-2.9388623643896827
2023-10-31,-3.9266172197833016,-3.933204688680192,-3.9663934746229756
2023-11-30,6.30087008796707,5.106539382766662,4.548197475660309
2023-12-31,6.903071081783763,7.340091832865547,6.25499874060107
2024-01-31,3.6320645905059568,1.1342643858390122,1.063906692273231
2024-02-29,2.832157775795019,0.7782084551768653,1.2918542512544207
2024-03-31,2.5038001153332656,3.3462041036073753,3.0377254155907307
2024-04-30,-2.9521637848599513,-2.98799370509365,-2.733798115301478
2024-05-31,1.5931841407499814,0.9400319635286314,0.2987273887813391
2024-06-30,2.7765381390054023,0.9633919125072721,0.6209857716719336
2024-07-31,4.639351583963114,4.16704983561671,3.6220622552903814
2024-08-31,2.382999843649447,0.398773779559769,0.3920231475234681
2024-09-30,3.0292285396209095,2.7497710807530718,2.8450743838515535
2024-10-31,-2.206615887604202,-1.104453710084785,-1.3914986133356733
2024-11-30,5.486062871288233,3.781640284372134,3.5215026789430004
2024-12-31,-2.0586155778411386,-3.056127003474729,-3.2171724878465646
2025-01-31,3.73109740104125,4.519454576814952,3.767998972961184
2025-02-28,-3.3400460139122012,-3.877550298682253,-3.3585250026054614
2025-03-31,-4.82358581837844,-3.2757052841117518,-3.6412202743644095
2025-04-30,3.3206889957312358,3.5323836589071345,2.5254020426899393
2025-05-31,5.667048241240935,4.218892452589751,4.073329284472149
2025-06-30,2.498048835825517,1.4667064567756238,1.1806051956698704
2025-07-31,3.0986275254192286,2.3029014548560545,2.1681993938482025
2025-08-31,-1.1846643254737055,3.162393357635551,2.7547742377795448
