1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),6 Years (p.a.),Since Inception
-0.6,1.97,2.03,6.7,12.71,11.06,4.56,6.87,5.53,7.45,7.06
-0.9,1.68,1.46,6.09,11.74,11.13,4.43,6.86,6.04,7.77,7.36
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45,3.49
