Date,EdwardsMarshall60,SAA Target,Peer Group
2022-12-31,0.0,0.0,0.0
2023-01-31,3.7292760188435192,2.9326295897136534,3.1492006384428617
2023-02-28,2.668449875647183,2.5034974851652514,2.240593279495773
2023-03-31,3.96510581970575,4.1481655448729615,3.372298283932218
2023-04-30,1.5842449986653406,2.816065837618198,1.4386293781739612
2023-05-31,1.7697495095228444,2.728583913975524,1.5597598334573304
2023-06-30,1.8680440050425018,1.614793668975123,1.2580025337687095
2023-07-31,2.497815541468529,1.9265370818695615,1.3639391413416968
2023-08-31,2.8250933531468236,2.6432489349892396,2.070811911955084
2023-09-30,-1.3143821929013089,-0.7385393405750507,-1.0250035660488543
2023-10-31,-5.1039263399880745,-4.31361203933106,-3.921321171454384
2023-11-30,-0.29847678380487963,-0.6833118170700314,-0.5813247381930786
2023-12-31,6.823891559522743,5.952283516160395,5.052501644995178
2024-01-31,9.917936154192253,9.5356162356671,7.717356011581877
2024-02-29,6.82340330696074,6.6461513804148,5.678732607043813
2024-03-31,5.288465790762853,5.6054550645576295,4.336195441092294
2024-04-30,2.1751792079484966,2.075535042507748,1.3428126040385013
2024-05-31,1.9572061686224052,1.3273249268957787,0.7995476969538506
2024-06-30,0.35873840635241017,0.1315632932382238,-0.44903915960111673
2024-07-31,5.675239244851871,4.961221001216987,3.981610448419759
2024-08-31,5.171956150319046,4.612772764922779,3.475567431109128
2024-09-30,5.778012846161151,4.608545582953694,3.9077045480791384
2024-10-31,2.341114389306287,2.298881931906238,1.3002054433886245
2024-11-30,4.062317080977329,4.3882676522001285,3.102374104226535
2024-12-31,0.7622378075692327,2.592727091966651,1.231899944065007
2025-01-31,3.5824184188746333,4.466950283850846,3.2549255494588314
2025-02-28,-0.02345445309596128,1.1570135054522535,0.7038311743270187
2025-03-31,-0.1525346774073899,-0.3235244817020866,-0.33860163382073427
2025-04-30,-1.2688321562212335,-1.436659526824846,-1.475205885997699
2025-05-31,2.1422740953272568,2.1745386064270456,1.1780124992451624
2025-06-30,5.351579534559847,5.332540431504551,4.2490377272419
2025-07-31,5.379495404577583,5.725176970428847,4.407511293410193
2025-08-31,4.535148692412161,4.439811858854026,3.508267100443563
