Date,EdwardsMarshall60,SAA Target,Peer Group
2022-12-31,0.0,0.0,0.0
2023-01-31,3.7292760188435192,2.9326295897136534,3.1492006384428617
2023-02-28,-1.0226873105752876,-0.4169058016480487,-0.8808670870188551
2023-03-31,1.2629546327319607,1.6044994561729364,1.106903792452285
2023-04-30,1.353815836112271,1.616077108677949,1.2197049685242822
2023-05-31,-0.8419433578424451,-0.5016369238884266,-0.7625064016404837
2023-06-30,1.3607596395087906,0.5028966107837762,0.8064920317478741
2023-07-31,1.980408296438596,1.9278244590293259,1.3256015090009399
2023-08-31,-0.5253294708373324,0.1980008566571323,-0.0704626369364858
2023-09-30,-2.7197655725188397,-2.8083734527141857,-2.2509765282588745
2023-10-31,-1.9356563537589855,-1.7432819305628788,-1.6395021444724711
2023-11-30,4.511976003554152,3.999469723154103,3.403401725475219
2023-12-31,4.229633391179588,3.6852412191561434,3.288234549697844
2024-01-31,0.904676908387736,1.5797848414322413,0.8555969546019782
2024-02-29,1.5696378011848422,1.2560441319437121,1.4464228070199647
2024-03-31,2.7319655614817417,2.6734386632379925,1.9760661477156605
2024-04-30,-2.078984923919658,-1.8155749544049637,-2.0379282661366904
2024-05-31,1.3529565795183274,0.5138408561556229,0.9026024803071353
2024-06-30,1.1213512530328096,1.461791569645321,0.712905957175769
2024-07-31,3.1083776020100817,2.9201662008211837,2.3220056919534215
2024-08-31,0.8702585511826566,0.18015694665654003,0.41154394415416906
2024-09-30,1.7040662111145188,1.4576917121944977,1.133505581826122
2024-10-31,-0.24178009460447125,0.6477804649417163,-0.2457012879313658
2024-11-30,2.5667239606505188,2.226269137017245,2.1979029835110353
2024-12-31,-1.5212269626233899,-0.2874411912833552,-0.701249539584825
2025-01-31,2.5502995943442963,2.4864722485216983,1.747795827643106
2025-02-28,-1.0037909311818805,-1.0126737728284985,-0.3270757917302136
2025-03-31,-1.648373405261938,-1.7468380832715624,-1.7291376951886095
2025-04-30,1.4037843521304438,1.341956621161966,0.5873969241236177
2025-05-31,2.4164723454418224,2.614058498734928,2.3570611039460454
2025-06-30,1.441830068113692,1.2899621693615027,1.2536476932604845
2025-07-31,1.4306541425577635,1.7197178992299111,0.7403042683991279
2025-08-31,1.5958666729202653,1.366517141691248,1.475477090817079
