1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception (p.a.)
1.6,4.54,6.77,11.09,12.62,12.31
1.48,3.51,4.73,8.74,9.15,9.14
0.0,-0.38,0.74,1.9,2.28,2.42
