1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
-0.71,2.12,2.87,8.29,15.13,14.28,5.06,7.77,6.75,8.67
-0.96,2.28,2.49,7.42,14.69,13.84,5.82,8.76,7.57,9.53
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45
