Date,PMP_AusEq,SAA Target,Peer Group
2022-12-31,9.46667101236951,9.0041390236125,7.550707567238257
2023-01-31,8.84687101967705,9.360014444038423,7.628661447939455
2023-02-28,0.5973973428534674,0.07452589968159895,0.36302700060193427
2023-03-31,3.3127272701899857,3.266623944239977,2.943502677697052
2023-04-30,0.07654027697088228,-1.004178248920462,-0.5891270782343416
2023-05-31,0.24855381849415714,-0.9906797544669721,-0.97816754591602
2023-06-30,2.2165805923048065,0.9907853096535968,0.8807902296155579
2023-07-31,2.819035210783749,2.000644175335764,1.7782283175953095
2023-08-31,3.832999364965861,3.8376797566450405,3.134983638174371
2023-09-30,-1.195735681674348,-0.8927833955526654,-1.160700188839836
2023-10-31,-8.272034687616713,-7.318995367814329,-7.632075400527604
2023-11-30,-2.884520362670362,-1.8680801872651864,-2.5492544997569144
2023-12-31,7.4863681891972345,8.322408901806732,6.681511185997069
2024-01-31,14.420311908305262,13.837510551493448,12.269555235783457
2024-02-29,11.184351576073803,9.427183516594194,8.772716320084161
2024-03-31,7.907214823065689,5.411813481619832,5.479209540606833
2024-04-30,3.040921962084586,1.2221674849650865,1.5155897451515354
2024-05-31,1.3429906190774554,1.0743227402075561,0.5202692440021472
2024-06-30,-1.38819265042599,-1.224096163126065,-1.837423714761588
2024-07-31,5.521051765749041,5.928365109182421,4.5770102447975525
2024-08-31,5.504288308199956,5.506831986718619,4.674285571930614
2024-09-30,7.493502919983852,7.756029601020975,6.9879668059511735
2024-10-31,2.605905313416379,2.161015543333078,1.8115529022142418
2024-11-30,6.24785288147458,5.453365787137443,4.9852828548551775
2024-12-31,-0.06307830877043674,-0.7983574653093406,-1.2031195200195022
2025-01-31,5.263786296579642,4.949939277838955,3.9662346350681554
2025-02-28,-1.5220188631862919,-2.6149430051431777,-2.9433498833676186
2025-03-31,-2.314993981737612,-2.936938191268401,-3.36859740616422
2025-04-30,-4.163460110160133,-3.7016633710703073,-4.525735304353762
2025-05-31,3.4237212022500074,4.293633557445342,2.8163590024958607
2025-06-30,8.643055083454865,9.489335723734428,7.961323892939887
2025-07-31,9.00195510225208,8.201880636660563,7.585182272437274
2025-08-31,8.48146415167712,7.142800464760413,6.22213387175703
