Date,PMP_AusEq,SAA Target,Peer Group
2022-12-31,-2.9515637736283296,-3.3740879517343614,-3.078748175127688
2023-01-31,5.71953315417959,6.282545334602707,5.475199662713792
2023-02-28,-1.9510456925583508,-2.5531088399495916,-1.8242154748223105
2023-03-31,-0.33202758037514934,-0.29199106314025114,-0.5867654161163083
2023-04-30,2.4079549279268253,1.887013551218475,1.8556916884428398
2023-05-31,-1.782517205997991,-2.539821548662269,-2.208422473555216
2023-06-30,1.6246015254011148,1.7034567980455328,1.279540234267884
2023-07-31,3.0115374881906076,2.905834264584506,2.761802524714785
2023-08-31,-0.8139318982001265,-0.7845599321954166,-0.904811226729374
2023-09-30,-3.2971786255829416,-2.9297789980720856,-2.9388623643896827
2023-10-31,-4.366083764873863,-3.766683911422597,-3.9663934746229756
2023-11-30,5.01162370977335,5.050669741422609,4.548197475660309
2023-12-31,7.029642462779817,7.150458195713827,6.25499874060107
2024-01-31,1.803258487392334,1.1329165100935512,1.063906692273231
2024-02-29,2.0417537358095927,0.9807651330879352,1.2918542512544207
2024-03-31,3.8749649384331786,3.2186313383809173,3.0377254155907307
2024-04-30,-2.7877641871722814,-2.886662555970154,-2.733798115301478
2024-05-31,0.36028691016141146,0.8332729797635219,0.2987273887813391
2024-06-30,1.0755452190520431,0.8714510950451393,0.6209857716719336
2024-07-31,4.023419133833661,4.145410633055424,3.6220622552903814
2024-08-31,0.3443433104618254,0.43201535284183024,0.3920231475234681
2024-09-30,2.9812587655613676,3.0218315290131637,2.8450743838515535
2024-10-31,-0.7063980232456135,-1.2621293319295401,-1.3914986133356733
2024-11-30,3.9060178161508308,3.6686449857221026,3.5215026789430004
2024-12-31,-3.13564261482967,-3.085740048926422,-3.2171724878465646
2025-01-31,4.586176182130464,4.459293881281745,3.767998972961184
2025-02-28,-2.7922591187201418,-3.803880497852441,-3.3585250026054614
2025-03-31,-3.9156243365730203,-3.4061785857420146,-3.6412202743644095
2025-04-30,2.6071211351587964,3.636296431924979,2.5254020426899393
2025-05-31,4.903477349685503,4.182929718343842,4.073329284472149
2025-06-30,0.9333255128898488,1.4059341967296968,1.1806051956698704
2025-07-31,2.946081574699533,2.417665629529364,2.1681993938482025
2025-08-31,4.402556879101893,3.163187044132121,2.7547742377795448
