1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),6 Years (p.a.),Since Inception
-0.2,1.52,0.76,4.62,7.55,7.15,1.8,2.7,2.8,4.2,4.12
-0.47,1.01,0.39,3.93,6.4,6.6,1.96,2.86,2.85,3.87,3.75
0.0,0.0,0.0,0.97,2.86,3.53,4.74,4.27,3.77,3.45,3.49
