Date,PMP_Real,SAA Target,Peer Group
2022-12-31,-4.11977017473567,-3.6101573714844903,-2.4433496897202645
2023-01-31,6.088667669845882,6.797627177987686,3.7701394837788227
2023-02-28,-0.7161309508553315,-1.6444053115953539,-1.023669171203756
2023-03-31,-3.8990747153670013,-4.6308359628993045,-2.11147966760713
2023-04-30,3.8416218622736142,3.5667151173834677,2.375294249616422
2023-05-31,-2.326598852294204,-2.9204471159533507,-2.222327666655355
2023-06-30,0.3167066148515474,1.4097235245141615,0.5024479102184731
2023-07-31,2.719230962195973,3.4034414197276597,1.7263053277089213
2023-08-31,0.6781940722082824,-0.37442261199975846,-0.9357688693053867
2023-09-30,-7.173728156105053,-6.933756862878693,-4.215388788991314
2023-10-31,-3.647040316652206,-4.4694837541808035,-2.2429946892605024
2023-11-30,8.107949775866619,9.356333913167191,5.653991960406191
2023-12-31,8.178191214063201,8.98281152520417,4.4976867477545035
2024-01-31,-0.22578044292763666,-0.8537149845888825,-0.7711915774571754
2024-02-29,2.5113121047266818,2.186232117684983,1.2915569573310526
2024-03-31,5.898662735775262,6.203157629772527,3.2697683532299404
2024-04-30,-6.256907702901316,-5.8425741116784895,-3.23472790376097
2024-05-31,2.2095229348523704,2.2064397005270076,1.659211850636888
2024-06-30,-0.19345421307019883,0.3867366870808908,-0.5885533878317473
2024-07-31,7.309591900746182,6.45674229349944,4.327520469161206
2024-08-31,1.5689602504640021,2.454272678314151,1.4182673314086403
2024-09-30,3.884410072515143,4.089416592616635,2.290518083287929
2024-10-31,-1.158451450487552,-2.4426806575515325,-1.1820468357384706
2024-11-30,2.608622581330633,2.7753491229430383,1.8305136650508036
2024-12-31,-4.28271290419957,-5.735421148327424,-3.3357650305177677
2025-01-31,2.6324217312831966,2.214527851328141,1.5051296025231586
2025-02-28,-1.4030448340554447,-1.7861831392249394,-0.4089600354706735
2025-03-31,-3.1471253891835804,-3.229018404833861,-1.681792789559089
2025-04-30,2.003718710315616,2.1894847355213187,1.63774056969479
2025-05-31,3.2888809511464334,3.380054150146572,1.975026726538398
2025-06-30,0.3674487716185393,0.940346846678608,0.21979271868062256
