Date,PMP_Real,SAA Target,Peer Group
2022-12-31,5.856391741516798,6.911487256899229,4.475149820515645
2023-01-31,5.59850330258973,8.214730658845525,4.430546912136268
2023-02-28,0.989623881737911,1.2492799869425752,0.19836397379529025
2023-03-31,1.2220800562242395,0.17714448323478127,0.5392206264368316
2023-04-30,-0.9218873968492858,-2.8534803804465048,-0.8121956233130279
2023-05-31,-2.529017755594054,-4.113835935970878,-2.013415181218847
2023-06-30,1.746865603145431,1.9594696643941534,0.6031310230248943
2023-07-31,0.6471162539311459,1.7987298011643338,-0.03462360343760018
2023-08-31,3.7433915882368884,4.468520224021821,1.2807210081106746
2023-09-30,-4.002906449566246,-4.126622522604206,-3.4736497801645005
2023-10-31,-9.95255710211006,-11.426224128565998,-7.240050637163165
2023-11-30,-3.3073196836616803,-2.774933264143409,-1.069651150886286
2023-12-31,12.684039254012912,13.852894093807988,7.929577342091854
2024-01-31,16.685176148779046,18.16215311354099,9.554535955367394
2024-02-29,10.644504266167543,10.414685400603796,5.0310481672632745
2024-03-31,8.313005693209409,7.598510940692105,3.796862415839919
2024-04-30,1.7657280081924798,2.1843513150007876,1.2199158094783114
2024-05-31,1.4661338078385544,2.2045585259093947,1.5873106690818206
2024-06-30,-4.370989509260048,-3.3928714179438435,-2.2081517941420326
2024-07-31,9.468440161015268,9.226437470509863,5.434323951126352
2024-08-31,8.782384734163884,9.491292731398659,5.1844319636507485
2024-09-30,13.22698100899402,13.529786488710482,8.230695825536905
2024-10-31,4.2919830583885155,4.039081008356504,2.515000672183909
2024-11-30,5.3595183165009,4.365124006460674,2.9317050222230634
2024-12-31,-2.923573845813343,-5.485737327406337,-2.7298452826666098
2025-01-31,0.7996015383290089,-0.9737987942842197,-0.08475843829537366
2025-02-28,-3.1413389674720182,-5.368930656686944,-2.28211115414918
2025-03-31,-1.9922102204399494,-2.852783290293648,-0.6101103810902675
2025-04-30,-2.592583791221481,-2.8765848872829736,-0.4802628606638937
2025-05-31,2.0427354943553855,2.2322951548979786,1.9020170711783857
2025-06-30,5.745638096958916,6.636960396223679,3.872917522080521
