1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
-0.23,2.94,3.42,8.69,17.93,15.28,10.17
-0.96,2.28,2.49,7.42,14.69,13.84,7.48
0.0,0.0,0.0,0.97,2.86,3.53,4.86
