Date,MurrayIrrigation,SAA Target,Peer Group
2022-12-31,5.5653683654194985,6.077595190649032,4.519595247791974
2023-01-31,5.769905407676479,6.271039472169759,4.602446698060003
2023-02-28,0.0769414942762614,0.07195129228263486,0.33043789308484506
2023-03-31,4.476618283794287,4.579381008656713,3.890202460716985
2023-04-30,1.8289105314612364,1.7277168787475095,1.6439089386369066
2023-05-31,1.928341957503621,1.8511337988533771,1.5557785206071317
2023-06-30,1.990570072996456,1.9371932216095011,1.8875026168769793
2023-07-31,2.702586757913461,2.7726677980226766,2.116683498973093
2023-08-31,3.694691770280234,3.7885661532865322,2.999501949714234
2023-09-30,-0.6061814654141129,-0.502521757635277,-1.0405101184764454
2023-10-31,-5.593671700269153,-5.568514587601436,-4.811062732124305
2023-11-30,-1.3316680583159601,-1.2817575980350937,-0.9637920608828177
2023-12-31,6.502967860239939,6.431070450294851,5.506601160953495
2024-01-31,10.850701590551925,10.661894136423179,9.040475222560929
2024-02-29,8.689913344599876,8.68473521664348,7.066822384812466
2024-03-31,6.774092461818704,7.015949022578516,5.897306985375805
2024-04-30,2.8855780851831714,3.1155490702161615,2.198588684642222
2024-05-31,1.1383355647367255,1.2175238881637185,1.189817349896738
2024-06-30,-0.47015598400304004,-0.4612471439508381,-0.5078327751175782
2024-07-31,5.34641126132136,5.52940536190889,4.586241991873008
2024-08-31,4.479962677071625,4.696170598560601,3.7753646348095193
2024-09-30,5.5378665222519885,5.679898616749934,4.564445449039112
2024-10-31,2.055577283580101,2.1227482299578826,1.6510502592647303
2024-11-30,4.705871496066494,4.719968844414746,4.05086843284872
2024-12-31,1.8211036039461614,1.8980116830581428,1.456794682422391
2025-01-31,4.883411378813918,4.896647268239684,3.935046299936018
2025-02-28,0.40433087861249106,0.48474474879236507,0.36098571828613313
2025-03-31,-1.5657854374986235,-1.4674141781691907,-0.9899976138235234
2025-04-30,-2.909182704396429,-2.649751410203527,-2.508474898662849
2025-05-31,1.7276877724612838,1.997694444492426,1.2899053732329246
2025-06-30,5.857991653454819,6.075409101809992,5.080761612778484
2025-07-31,5.862887286716201,5.975024034975718,5.408502570239948
2025-08-31,4.392894422502724,4.42648686344127,4.1342728763470005
2025-09-30,3.4138610190699747,3.474555545450686,3.2760606624141486
