Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G11,PeerGroup,OptimiserCategory,Type
20.14574,Macquarie True Index International Equities,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Core,,International Shares,World Large Blend Equity,International Equities - Unhedged,MF
26.56576,Macquarie True Index Australian Shares,Growth,Australian Shares,Australian Shares,Australian Shares,Passive,,,Australian Shares,,Australian Shares,Australian Equity,Australian Equities,MF
19.21837,Macquarie True Index Australian Fixed Interest,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,Passive,,,Australian Bonds,,Long Duration,Australian Bonds,Australian Fixed Interest,MF
9.52633,Macquarie True Index Cash,Defensive,Cash,Cash,,Passive,,,Cash,,Cash,Cash,Cash,MF
5.43873,Macquarie True Index Listed Property,Growth,Real Assets,Listed Property,,Passive,,,Australia Real Estate Equity,,Real Assets,Australia Real Estate Equity,AREITs,MF
4.88558,Macquarie True Index Emerging Markets,Growth,International Shares,Global Shares,Global Shares,Active Manager,,,Emerging Markets Equity,,International Shares,Emerging Markets Equity,International Equities - Emerging,MF
14.21949,Macquarie Hedged Index Global Bond Fund,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,Passive,,,Global Bonds,,Long Duration,Global Bonds ,International Fixed Interest,MF
