Date,MurrayIrrigation,SAA Target,Peer Group
2022-12-31,-3.1114864985754664,-3.2295436174704317,-2.46007558032324
2023-01-31,4.3964988445072795,4.623065763168488,3.784605295299226
2023-02-28,-1.0591134746173347,-1.1578606153859416,-0.8900276432812104
2023-03-31,1.1480176155415744,1.129180531834062,1.0006804391879065
2023-04-30,1.7508215260071402,1.770210440059783,1.5405949743585223
2023-05-31,-0.9625020762455749,-1.0379445021199363,-0.9759610099327354
2023-06-30,1.20976933641892,1.2146299379993009,1.330591350505772
2023-07-31,2.4611644780925923,2.6043164299514476,1.7689955389723622
2023-08-31,-0.005801751510581266,-0.059713698464936016,-0.11987906825646766
2023-09-30,-2.988038484777178,-2.970039828937454,-2.6439600228863602
2023-10-31,-2.6802423500246197,-2.6198635245550883,-2.1086048061506157
2023-11-30,4.5084680520579345,4.4771176239629895,3.9169961289039934
2023-12-31,4.715075404549962,4.6108832114915455,3.71666175657428
2024-01-31,1.292608373870996,1.2511694944271845,1.1702029511230005
2024-02-29,2.4713075638595594,2.6104600302619962,2.036079213588926
2024-03-31,2.869316934157262,3.0046484692869413,2.5837409282478685
2024-04-30,-2.3962805206851123,-2.439122095561652,-2.3634098648849133
2024-05-31,0.7311003449908204,0.7217319108315801,1.0289119606427422
2024-06-30,1.233296072341572,1.2962365917701169,0.8627051049585388
2024-07-31,3.3077231714533584,3.432493741712528,2.6356579413082004
2024-08-31,-0.0973884306479933,-0.0735426210861645,0.24561527116027104
2024-09-30,2.258326043937431,2.2480187391281214,1.6296388155718322
2024-10-31,-0.10098106453568789,-0.04900974131488711,-0.22399699074293622
2024-11-30,2.4969951425183545,2.4678211742726663,2.6122533800263747
2024-12-31,-0.5590091394539365,-0.507325173780182,-0.9040716886026479
2025-01-31,2.9035192950133126,2.8923292623946217,2.213198483653178
2025-02-28,-1.8801726692146303,-1.841926088144663,-0.916319734199933
2025-03-31,-2.510222965294484,-2.4402107457627054,-2.2380257791336455
2025-04-30,1.49912645061967,1.6576774894507817,0.6455950459436366
2025-05-31,2.8058413454711495,2.844084890921339,2.9440927067506006
2025-06-30,1.448015084353238,1.460083126304279,1.4207947973085
2025-07-31,1.5038204986711046,1.5614731680590133,0.9595029695099733
2025-08-31,1.37829806707932,1.3412978920386953,1.6996540083600076
